,MAC,nbAPConnected,coToAdmin,coToAcademic,coToSocial,coToLibrary,coToResidential,only Academic or Admin,is Night,is Weekend
443,003065cb5c11,0,0,0,0,0,0,1,0.0,0.0
444,003065d3099b,0,0,0,0,0,0,1,0.0,0.0
445,003065bc79a6,0,0,0,0,0,0,1,0.0,0.0
446,003065239f46,0,0,0,0,0,0,1,0.0,0.0
447,0030659ffedc,0,0,0,0,0,0,1,0.0,0.0
448,003065ca7e43,0,0,0,0,0,0,1,0.0,0.0
449,003065b08cdf,0,0,0,0,0,0,1,0.0,0.0
450,003065fa0b39,0,0,0,0,0,0,1,0.0,0.0
451,00601d6fd648,0,0,0,0,0,0,1,0.0,0.0
452,00032f2dc8c9,0,0,0,0,0,0,1,0.0,0.0
453,0040969c30dd,0,0,0,0,0,0,1,0.0,0.0
454,004096f84f8c,0,0,0,0,0,0,1,0.0,0.0
455,0030657fcffb,0,0,0,0,0,0,1,0.0,0.0
456,0040967b4ae4,0,0,0,0,0,0,1,0.0,0.0
457,004096eccf9c,0,0,0,0,0,0,1,0.0,0.0
458,003065b8bd32,0,0,0,0,0,0,1,0.0,0.0
459,00022df11518,0,0,0,0,0,0,1,0.0,0.0
460,004096224dcd,0,0,0,0,0,0,1,0.0,0.0
461,0040969bfde8,0,0,0,0,0,0,1,0.0,0.0
462,0040967d8f1d,0,0,0,0,0,0,1,0.0,0.0
463,00045a846a1b,0,0,0,0,0,0,1,0.0,0.0
464,0030659bfa56,0,0,0,0,0,0,1,0.0,0.0
465,003065dcdee8,0,0,0,0,0,0,1,0.0,0.0
466,00306585f92d,0,0,0,0,0,0,1,0.0,0.0
467,0030658f0c69,0,0,0,0,0,0,1,0.0,0.0
468,003065f5b4c4,0,0,0,0,0,0,1,0.0,0.0
469,00306541e148,0,0,0,0,0,0,1,0.0,0.0
470,003065882246,0,0,0,0,0,0,1,0.0,0.0
471,00022d8f9795,0,0,0,0,0,0,1,0.0,0.0
472,003065e758a9,0,0,0,0,0,0,1,0.0,0.0
473,00306505444a,0,0,0,0,0,0,1,0.0,0.0
474,0040963d6324,0,0,0,0,0,0,1,0.0,0.0
475,00022dc6e528,0,0,0,0,0,0,1,0.0,0.0
476,00022d468591,0,0,0,0,0,0,1,0.0,0.0
477,003065ab7885,0,0,0,0,0,0,1,0.0,0.0
478,0030651fbf33,0,0,0,0,0,0,1,0.0,0.0
479,003065ab07a8,0,0,0,0,0,0,1,0.0,0.0
480,003065d90d61,0,0,0,0,0,0,1,0.0,0.0
481,003065581bc1,0,0,0,0,0,0,1,0.0,0.0
482,00306513bc12,0,0,0,0,0,0,1,0.0,0.0
483,003065f4bbda,0,0,0,0,0,0,1,0.0,0.0
484,004096f5ba46,0,0,0,0,0,0,1,0.0,0.0
485,00306590cc73,0,0,0,0,0,0,1,0.0,0.0
486,003065ff96be,0,0,0,0,0,0,1,0.0,0.0
487,003065749f73,0,0,0,0,0,0,1,0.0,0.0
488,00601d16096c,0,0,0,0,0,0,1,0.0,0.0
489,0000c5a0e337,0,0,0,0,0,0,1,0.0,0.0
490,0040962491f7,0,0,0,0,0,0,1,0.0,0.0
491,003065f648b9,0,0,0,0,0,0,1,0.0,0.0
492,00306509c34b,0,0,0,0,0,0,1,0.0,0.0
493,0030656819ca,0,0,0,0,0,0,1,0.0,0.0
494,0030656c0728,0,0,0,0,0,0,1,0.0,0.0
495,004096eb19e8,0,0,0,0,0,0,1,0.0,0.0
496,0030657e62bf,0,0,0,0,0,0,1,0.0,0.0
497,00022d8b00fb,0,0,0,0,0,0,1,0.0,0.0
498,00601dc663da,0,0,0,0,0,0,1,0.0,0.0
499,003065d13013,0,0,0,0,0,0,1,0.0,0.0
500,00022de48aaf,0,0,0,0,0,0,1,0.0,0.0
501,00306502eae6,0,0,0,0,0,0,1,0.0,0.0
502,00409686bf25,0,0,0,0,0,0,1,0.0,0.0
503,004096627c9d,0,0,0,0,0,0,1,0.0,0.0
504,003065649f0e,0,0,0,0,0,0,1,0.0,0.0
505,00022da349e9,0,0,0,0,0,0,1,0.0,0.0
506,00601d10bb4f,0,0,0,0,0,0,1,0.0,0.0
507,003065f69357,0,0,0,0,0,0,1,0.0,0.0
508,004096a0db54,0,0,0,0,0,0,1,0.0,0.0
509,00306562ec0a,0,0,0,0,0,0,1,0.0,0.0
510,0030650e256e,0,0,0,0,0,0,1,0.0,0.0
511,0030655aba2b,0,0,0,0,0,0,1,0.0,0.0
512,00055d3f9e36,0,0,0,0,0,0,1,0.0,0.0
513,00022d0acaae,0,0,0,0,0,0,1,0.0,0.0
514,00306515e148,0,0,0,0,0,0,1,0.0,0.0
515,003065ec0acf,0,0,0,0,0,0,1,0.0,0.0
516,003065070118,0,0,0,0,0,0,1,0.0,0.0
517,003065b79947,0,0,0,0,0,0,1,0.0,0.0
518,00601d45010d,0,0,0,0,0,0,1,0.0,0.0
519,003065523bf8,0,0,0,0,0,0,1,0.0,0.0
520,0030654da3fe,0,0,0,0,0,0,1,0.0,0.0
521,00601d80733e,0,0,0,0,0,0,1,0.0,0.0
522,00601dbca844,0,0,0,0,0,0,1,0.0,0.0
523,003065180458,0,0,0,0,0,0,1,0.0,0.0
524,00601d3dd7ab,0,0,0,0,0,0,1,0.0,0.0
525,004096ae00ba,0,0,0,0,0,0,1,0.0,0.0
526,003065fa2d3f,0,0,0,0,0,0,1,0.0,0.0
527,00409651cb55,0,0,0,0,0,0,1,0.0,0.0
528,0030659f47e3,0,0,0,0,0,0,1,0.0,0.0
529,00306566706e,0,0,0,0,0,0,1,0.0,0.0
530,003065b14b46,0,0,0,0,0,0,1,0.0,0.0
531,0000c5112528,0,0,0,0,0,0,1,0.0,0.0
532,0040969b4aa7,0,0,0,0,0,0,1,0.0,0.0
533,004096e8a84a,0,0,0,0,0,0,1,0.0,0.0
534,004096c09135,0,0,0,0,0,0,1,0.0,0.0
535,00022dfc2637,0,0,0,0,0,0,1,0.0,0.0
536,00022d8af92a,0,0,0,0,0,0,1,0.0,0.0
537,004096b13dad,0,0,0,0,0,0,1,0.0,0.0
538,00409634ff93,0,0,0,0,0,0,1,0.0,0.0
539,0040966b410c,0,0,0,0,0,0,1,0.0,0.0
540,0040967782c7,0,0,0,0,0,0,1,0.0,0.0
541,004096804e68,0,0,0,0,0,0,1,0.0,0.0
542,004096832293,0,0,0,0,0,0,1,0.0,0.0
543,00409678cacd,0,0,0,0,0,0,1,0.0,0.0
544,0040967d944a,0,0,0,0,0,0,1,0.0,0.0
545,003065f86c99,0,0,0,0,0,0,1,0.0,0.0
546,0030657c9cc4,0,0,0,0,0,0,1,0.0,0.0
547,0040968a7c4d,0,0,0,0,0,0,1,0.0,0.0
548,003065d46a5d,0,0,0,0,0,0,1,0.0,0.0
549,004096c42249,0,0,0,0,0,0,1,0.0,0.0
550,00409621e50c,0,0,0,0,0,0,1,0.0,0.0
551,004096d0dae0,0,0,0,0,0,0,1,0.0,0.0
552,0030652f3b0c,0,0,0,0,0,0,1,0.0,0.0
553,0040963872df,0,0,0,0,0,0,1,0.0,0.0
554,00409609e8de,0,0,0,0,0,0,1,0.0,0.0
555,0040965515da,0,0,0,0,0,0,1,0.0,0.0
556,004096e0b13c,0,0,0,0,0,0,1,0.0,0.0
557,004096c2915e,0,0,0,0,0,0,1,0.0,0.0
558,0040962a7f18,0,0,0,0,0,0,1,0.0,0.0
559,0040969e99c3,0,0,0,0,0,0,1,0.0,0.0
560,004096d2e28b,0,0,0,0,0,0,1,0.0,0.0
561,00409650f3c3,0,0,0,0,0,0,1,0.0,0.0
562,00409698e339,0,0,0,0,0,0,1,0.0,0.0
563,0030658040fb,0,0,0,0,0,0,1,0.0,0.0
564,00306508f424,0,0,0,0,0,0,1,0.0,0.0
565,004096b23ecb,0,0,0,0,0,0,1,0.0,0.0
566,0040967981e2,0,0,0,0,0,0,1,0.0,0.0
567,00409691e655,0,0,0,0,0,0,1,0.0,0.0
568,00022d16902c,0,0,0,0,0,0,1,0.0,0.0
569,0030657742ad,0,0,0,0,0,0,1,0.0,0.0
570,0040960e07a6,0,0,0,0,0,0,1,0.0,0.0
571,00e02982bc0b,0,0,0,0,0,0,1,0.0,0.0
572,004096aa0d58,0,0,0,0,0,0,1,0.0,0.0
573,00409646de3e,0,0,0,0,0,0,1,0.0,0.0
574,004096a33c26,0,0,0,0,0,0,1,0.0,0.0
575,00022df12826,0,0,0,0,0,0,1,0.0,0.0
576,004096dfe794,0,0,0,0,0,0,1,0.0,0.0
577,0040968dd4c2,0,0,0,0,0,0,1,0.0,0.0
578,004096991e43,0,0,0,0,0,0,1,0.0,0.0
579,0040962a8b0f,0,0,0,0,0,0,1,0.0,0.0
580,00409676ac9e,0,0,0,0,0,0,1,0.0,0.0
581,003065a5183c,0,0,0,0,0,0,1,0.0,0.0
582,00409698f7ff,0,0,0,0,0,0,1,0.0,0.0
583,004096d79746,0,0,0,0,0,0,1,0.0,0.0
584,004096bf314c,0,0,0,0,0,0,1,0.0,0.0
585,004096e58928,0,0,0,0,0,0,1,0.0,0.0
586,004096381dda,0,0,0,0,0,0,1,0.0,0.0
587,004096695591,0,0,0,0,0,0,1,0.0,0.0
588,004096ebbe77,0,0,0,0,0,0,1,0.0,0.0
589,004096b2898f,0,0,0,0,0,0,1,0.0,0.0
590,004096d002f7,0,0,0,0,0,0,1,0.0,0.0
591,00409634edaf,0,0,0,0,0,0,1,0.0,0.0
592,0040965f59fe,0,0,0,0,0,0,1,0.0,0.0
593,00409602f4d0,0,0,0,0,0,0,1,0.0,0.0
594,004096a1b628,0,0,0,0,0,0,1,0.0,0.0
595,004096720a65,0,0,0,0,0,0,1,0.0,0.0
596,00409621bd4b,0,0,0,0,0,0,1,0.0,0.0
597,004096bab5ed,0,0,0,0,0,0,1,0.0,0.0
598,004096d7ea94,0,0,0,0,0,0,1,0.0,0.0
599,0040965227a7,0,0,0,0,0,0,1,0.0,0.0
600,004096b0a651,0,0,0,0,0,0,1,0.0,0.0
601,0040967ee136,0,0,0,0,0,0,1,0.0,0.0
602,00409699e969,0,0,0,0,0,0,1,0.0,0.0
603,004096188341,0,0,0,0,0,0,1,0.0,0.0
604,0040962923a3,0,0,0,0,0,0,1,0.0,0.0
605,004096590ce2,0,0,0,0,0,0,1,0.0,0.0
606,004096cf0b33,0,0,0,0,0,0,1,0.0,0.0
607,0040967f43a6,0,0,0,0,0,0,1,0.0,0.0
608,00409664066b,0,0,0,0,0,0,1,0.0,0.0
609,004096097efc,0,0,0,0,0,0,1,0.0,0.0
610,0040961a27e4,0,0,0,0,0,0,1,0.0,0.0
611,004096247537,0,0,0,0,0,0,1,0.0,0.0
612,0040963f9134,0,0,0,0,0,0,1,0.0,0.0
613,004096c7f491,0,0,0,0,0,0,1,0.0,0.0
614,0040963d1cb5,0,0,0,0,0,0,1,0.0,0.0
615,004096d31cc0,0,0,0,0,0,0,1,0.0,0.0
616,004096726a78,0,0,0,0,0,0,1,0.0,0.0
617,004096342f1e,0,0,0,0,0,0,1,0.0,0.0
618,004096e6f81a,0,0,0,0,0,0,1,0.0,0.0
619,0040968375ba,0,0,0,0,0,0,1,0.0,0.0
620,00409672bcfe,0,0,0,0,0,0,1,0.0,0.0
621,0040963ecc50,0,0,0,0,0,0,1,0.0,0.0
622,00409651890c,0,0,0,0,0,0,1,0.0,0.0
623,004096bfd9e3,0,0,0,0,0,0,1,0.0,0.0
624,004096f9f44c,0,0,0,0,0,0,1,0.0,0.0
625,004096e5066c,0,0,0,0,0,0,1,0.0,0.0
626,00409633478c,0,0,0,0,0,0,1,0.0,0.0
627,00409641ff58,0,0,0,0,0,0,1,0.0,0.0
628,00601d45d1da,0,0,0,0,0,0,1,0.0,0.0
629,003065589dab,0,0,0,0,0,0,1,0.0,0.0
630,003065811f44,0,0,0,0,0,0,1,0.0,0.0
631,00409698a9df,0,0,0,0,0,0,1,0.0,0.0
632,003065e0a252,0,0,0,0,0,0,1,0.0,0.0
633,003065d15f99,0,0,0,0,0,0,1,0.0,0.0
634,003065e1777d,0,0,0,0,0,0,1,0.0,0.0
635,003065d6e947,0,0,0,0,0,0,1,0.0,0.0
636,0040962f096f,0,0,0,0,0,0,1,0.0,0.0
637,0040967cd43e,0,0,0,0,0,0,1,0.0,0.0
638,004096e995fa,0,0,0,0,0,0,1,0.0,0.0
639,004096fbd8ae,0,0,0,0,0,0,1,0.0,0.0
640,0040966ea058,0,0,0,0,0,0,1,0.0,0.0
641,004096884c68,0,0,0,0,0,0,1,0.0,0.0
642,00409658672c,0,0,0,0,0,0,1,0.0,0.0
643,004096a248c8,0,0,0,0,0,0,1,0.0,0.0
644,004096177335,0,0,0,0,0,0,1,0.0,0.0
645,00601d1196f3,0,0,0,0,0,0,1,0.0,0.0
646,00601db88cc8,0,0,0,0,0,0,1,0.0,0.0
647,003065d45f50,0,0,0,0,0,0,1,0.0,0.0
648,00032f292239,0,0,0,0,0,0,1,0.0,0.0
649,004096eead58,0,0,0,0,0,0,1,0.0,0.0
650,00409632f1ee,0,0,0,0,0,0,1,0.0,0.0
651,004096125cc4,0,0,0,0,0,0,1,0.0,0.0
652,004096c17832,0,0,0,0,0,0,1,0.0,0.0
653,00409610eae9,0,0,0,0,0,0,1,0.0,0.0
654,004096343b3b,0,0,0,0,0,0,1,0.0,0.0
655,004096331acd,0,0,0,0,0,0,1,0.0,0.0
656,0040962a7d5e,0,0,0,0,0,0,1,0.0,0.0
657,0040969121bd,0,0,0,0,0,0,1,0.0,0.0
658,004096e5a26a,0,0,0,0,0,0,1,0.0,0.0
659,004096b9a388,0,0,0,0,0,0,1,0.0,0.0
660,00022d8079a8,0,0,0,0,0,0,1,0.0,0.0
661,00409682f790,0,0,0,0,0,0,1,0.0,0.0
662,004096e9f288,0,0,0,0,0,0,1,0.0,0.0
663,00409667e6e1,0,0,0,0,0,0,1,0.0,0.0
664,004096ed8cda,0,0,0,0,0,0,1,0.0,0.0
665,00409614b0ba,0,0,0,0,0,0,1,0.0,0.0
666,004096ab4633,0,0,0,0,0,0,1,0.0,0.0
667,004096d75125,0,0,0,0,0,0,1,0.0,0.0
668,0040965ca1fd,0,0,0,0,0,0,1,0.0,0.0
669,0030650f7221,0,0,0,0,0,0,1,0.0,0.0
670,004096c0489e,0,0,0,0,0,0,1,0.0,0.0
671,0040963bafe4,0,0,0,0,0,0,1,0.0,0.0
672,004096036880,0,0,0,0,0,0,1,0.0,0.0
673,004096171888,0,0,0,0,0,0,1,0.0,0.0
674,004096226260,0,0,0,0,0,0,1,0.0,0.0
675,00306517e980,0,0,0,0,0,0,1,0.0,0.0
676,004096f1bf2a,0,0,0,0,0,0,1,0.0,0.0
677,0040960f0444,0,0,0,0,0,0,1,0.0,0.0
678,0040963a1a69,0,0,0,0,0,0,1,0.0,0.0
679,00409624bd57,0,0,0,0,0,0,1,0.0,0.0
680,0040966a3d5a,0,0,0,0,0,0,1,0.0,0.0
681,00409693c7b0,0,0,0,0,0,0,1,0.0,0.0
682,004096a1cca9,0,0,0,0,0,0,1,0.0,0.0
683,00409629beee,0,0,0,0,0,0,1,0.0,0.0
684,004096f9cab1,0,0,0,0,0,0,1,0.0,0.0
685,004096490cd7,0,0,0,0,0,0,1,0.0,0.0
686,004096d98b75,0,0,0,0,0,0,1,0.0,0.0
687,0040962c71be,0,0,0,0,0,0,1,0.0,0.0
688,00055dc05d5b,0,0,0,0,0,0,1,0.0,0.0
689,00409629fe7f,0,0,0,0,0,0,1,0.0,0.0
690,00409601011e,0,0,0,0,0,0,1,0.0,0.0
691,004096b135d7,0,0,0,0,0,0,1,0.0,0.0
692,004096376477,0,0,0,0,0,0,1,0.0,0.0
693,003065961a24,0,0,0,0,0,0,1,0.0,0.0
694,00409651bef9,0,0,0,0,0,0,1,0.0,0.0
695,0040967214c7,0,0,0,0,0,0,1,0.0,0.0
696,0040969b0446,0,0,0,0,0,0,1,0.0,0.0
697,004096f8261e,0,0,0,0,0,0,1,0.0,0.0
698,00306584c88a,0,0,0,0,0,0,1,0.0,0.0
699,0040961f513f,0,0,0,0,0,0,1,0.0,0.0
700,004096f009fd,0,0,0,0,0,0,1,0.0,0.0
701,004096b30f57,0,0,0,0,0,0,1,0.0,0.0
702,003065e96694,0,0,0,0,0,0,1,0.0,0.0
703,003065787324,0,0,0,0,0,0,1,0.0,0.0
704,0040966abfa8,0,0,0,0,0,0,1,0.0,0.0
705,004096b11c20,0,0,0,0,0,0,1,0.0,0.0
706,0040966660d4,0,0,0,0,0,0,1,0.0,0.0
707,0040963587b4,0,0,0,0,0,0,1,0.0,0.0
708,003065f2d70f,0,0,0,0,0,0,1,0.0,0.0
709,003065d9a457,0,0,0,0,0,0,1,0.0,0.0
710,00409664c8e1,0,0,0,0,0,0,1,0.0,0.0
711,00409629a622,0,0,0,0,0,0,1,0.0,0.0
712,003065475d11,0,0,0,0,0,0,1,0.0,0.0
713,003065bec3ec,0,0,0,0,0,0,1,0.0,0.0
714,003065616010,0,0,0,0,0,0,1,0.0,0.0
715,004096008bc8,0,0,0,0,0,0,1,0.0,0.0
716,004096dac05a,0,0,0,0,0,0,1,0.0,0.0
717,00409642f45a,0,0,0,0,0,0,1,0.0,0.0
718,00601d178927,0,0,0,0,0,0,1,0.0,0.0
719,003065fc7c07,0,0,0,0,0,0,1,0.0,0.0
720,004096a260e8,0,0,0,0,0,0,1,0.0,0.0
721,004096604052,0,0,0,0,0,0,1,0.0,0.0
722,00306500e164,0,0,0,0,0,0,1,0.0,0.0
723,003065518a84,0,0,0,0,0,0,1,0.0,0.0
724,0002a55a0817,0,0,0,0,0,0,1,0.0,0.0
725,00409650c94c,0,0,0,0,0,0,1,0.0,0.0
726,003065f06e02,0,0,0,0,0,0,1,0.0,0.0
727,0040963173d6,0,0,0,0,0,0,1,0.0,0.0
728,003065beae9e,0,0,0,0,0,0,1,0.0,0.0
729,0040965a5436,0,0,0,0,0,0,1,0.0,0.0
730,004096e1c767,0,0,0,0,0,0,1,0.0,0.0
731,004096535f77,0,0,0,0,0,0,1,0.0,0.0
732,004096354902,0,0,0,0,0,0,1,0.0,0.0
733,004096d342eb,0,0,0,0,0,0,1,0.0,0.0
734,0040962b0847,0,0,0,0,0,0,1,0.0,0.0
735,00022d5a3595,0,0,0,0,0,0,1,0.0,0.0
736,004096f3e315,0,0,0,0,0,0,1,0.0,0.0
737,004096b9188c,0,0,0,0,0,0,1,0.0,0.0
738,004096a6a965,0,0,0,0,0,0,1,0.0,0.0
739,004096340220,0,0,0,0,0,0,1,0.0,0.0
740,004096ca66a2,0,0,0,0,0,0,1,0.0,0.0
741,004096fe79f2,0,0,0,0,0,0,1,0.0,0.0
742,00409667d98c,0,0,0,0,0,0,1,0.0,0.0
743,00409684f3b2,0,0,0,0,0,0,1,0.0,0.0
744,003065f0d8a0,0,0,0,0,0,0,1,0.0,0.0
745,00070e5bf87b,0,0,0,0,0,0,1,0.0,0.0
746,00070e345f3f,0,0,0,0,0,0,1,0.0,0.0
747,003065d353f3,0,0,0,0,0,0,1,0.0,0.0
748,0040965ce637,0,0,0,0,0,0,1,0.0,0.0
749,00409656887f,0,0,0,0,0,0,1,0.0,0.0
750,004096034b62,0,0,0,0,0,0,1,0.0,0.0
751,004096b39235,0,0,0,0,0,0,1,0.0,0.0
752,004096a9edfa,0,0,0,0,0,0,1,0.0,0.0
753,0040961dbe3c,0,0,0,0,0,0,1,0.0,0.0
754,004096bcc4af,0,0,0,0,0,0,1,0.0,0.0
755,0040968047d7,0,0,0,0,0,0,1,0.0,0.0
756,00409665ab62,0,0,0,0,0,0,1,0.0,0.0
757,00409629cb6a,0,0,0,0,0,0,1,0.0,0.0
758,0040960be13f,0,0,0,0,0,0,1,0.0,0.0
759,004096f76088,0,0,0,0,0,0,1,0.0,0.0
760,00306540cc5b,0,0,0,0,0,0,1,0.0,0.0
761,00601d94305d,0,0,0,0,0,0,1,0.0,0.0
762,0040965ccc2c,0,0,0,0,0,0,1,0.0,0.0
763,00070ef7520f,0,0,0,0,0,0,1,0.0,0.0
764,00070ec3d09f,0,0,0,0,0,0,1,0.0,0.0
765,004096c34f0d,0,0,0,0,0,0,1,0.0,0.0
766,00409655cb4e,0,0,0,0,0,0,1,0.0,0.0
767,00409616ab43,0,0,0,0,0,0,1,0.0,0.0
768,004096829758,0,0,0,0,0,0,1,0.0,0.0
769,00022d6d4855,0,0,0,0,0,0,1,0.0,0.0
770,00032f98cf71,0,0,0,0,0,0,1,0.0,0.0
771,004096d4242e,0,0,0,0,0,0,1,0.0,0.0
772,00306577caa2,0,0,0,0,0,0,1,0.0,0.0
773,0040966efa4d,0,0,0,0,0,0,1,0.0,0.0
774,004096adb3a0,0,0,0,0,0,0,1,0.0,0.0
775,0040962091f9,0,0,0,0,0,0,1,0.0,0.0
776,004096d439f6,0,0,0,0,0,0,1,0.0,0.0
777,00306512e208,0,0,0,0,0,0,1,0.0,0.0
778,004096d9d100,0,0,0,0,0,0,1,0.0,0.0
779,0030657cd0bd,0,0,0,0,0,0,1,0.0,0.0
780,00409620f218,0,0,0,0,0,0,1,0.0,0.0
781,004096782b17,0,0,0,0,0,0,1,0.0,0.0
782,003065b36ad4,0,0,0,0,0,0,1,0.0,0.0
783,004096a5fe76,0,0,0,0,0,0,1,0.0,0.0
784,00409698d1af,0,0,0,0,0,0,1,0.0,0.0
785,0040966c93ee,0,0,0,0,0,0,1,0.0,0.0
786,00070ef23cbb,0,0,0,0,0,0,1,0.0,0.0
787,003065a48406,0,0,0,0,0,0,1,0.0,0.0
788,004096c0cdd2,0,0,0,0,0,0,1,0.0,0.0
789,00070e27c4f1,0,0,0,0,0,0,1,0.0,0.0
790,0040966ac174,0,0,0,0,0,0,1,0.0,0.0
791,00306544c58a,0,0,0,0,0,0,1,0.0,0.0
792,004096684347,0,0,0,0,0,0,1,0.0,0.0
793,00070e2d10e5,0,0,0,0,0,0,1,0.0,0.0
794,00070ee42b16,0,0,0,0,0,0,1,0.0,0.0
795,00070e3ef403,0,0,0,0,0,0,1,0.0,0.0
796,00070e986ccc,0,0,0,0,0,0,1,0.0,0.0
797,00409665b7f1,0,0,0,0,0,0,1,0.0,0.0
798,004096f9847b,0,0,0,0,0,0,1,0.0,0.0
799,004096b2fe93,0,0,0,0,0,0,1,0.0,0.0
800,004096f53386,0,0,0,0,0,0,1,0.0,0.0
801,00409648c683,0,0,0,0,0,0,1,0.0,0.0
802,0040961862fa,0,0,0,0,0,0,1,0.0,0.0
803,00070e9cf5c4,0,0,0,0,0,0,1,0.0,0.0
804,00070e90c524,0,0,0,0,0,0,1,0.0,0.0
805,0040969c0c3b,0,0,0,0,0,0,1,0.0,0.0
806,0040967f2581,0,0,0,0,0,0,1,0.0,0.0
807,0030656567d7,0,0,0,0,0,0,1,0.0,0.0
808,0040963d8400,0,0,0,0,0,0,1,0.0,0.0
809,00601db2ec16,0,0,0,0,0,0,1,0.0,0.0
810,00306589bd34,0,0,0,0,0,0,1,0.0,0.0
811,00022d7fd3ce,0,0,0,0,0,0,1,0.0,0.0
812,00045a7a0429,0,0,0,0,0,0,1,0.0,0.0
813,0004e218fdfa,0,0,0,0,0,0,1,0.0,0.0
814,00070e0da676,0,0,0,0,0,0,1,0.0,0.0
815,0040965a7ce7,0,0,0,0,0,0,1,0.0,0.0
816,004096fd60c9,0,0,0,0,0,0,1,0.0,0.0
817,004096bfea84,0,0,0,0,0,0,1,0.0,0.0
818,00022d234b47,0,0,0,0,0,0,1,0.0,0.0
819,00070e9150dd,0,0,0,0,0,0,1,0.0,0.0
820,00022d0acd45,0,0,0,0,0,0,1,0.0,0.0
821,003065670339,0,0,0,0,0,0,1,0.0,0.0
822,00409633275c,0,0,0,0,0,0,1,0.0,0.0
823,003065038734,0,0,0,0,0,0,1,0.0,0.0
824,003065472650,0,0,0,0,0,0,1,0.0,0.0
825,00306571ea92,0,0,0,0,0,0,1,0.0,0.0
826,00070e643764,0,0,0,0,0,0,1,0.0,0.0
827,00306560ef73,0,0,0,0,0,0,1,0.0,0.0
828,003065256c5a,0,0,0,0,0,0,1,0.0,0.0
829,004096689da9,0,0,0,0,0,0,1,0.0,0.0
830,003065f24aa9,0,0,0,0,0,0,1,0.0,0.0
831,003065d15da6,0,0,0,0,0,0,1,0.0,0.0
832,0050da8c7829,0,0,0,0,0,0,1,0.0,0.0
833,0040964422db,0,0,0,0,0,0,1,0.0,0.0
834,004096f872ee,0,0,0,0,0,0,1,0.0,0.0
835,00022dd4bf89,0,0,0,0,0,0,1,0.0,0.0
836,00070eb47270,0,0,0,0,0,0,1,0.0,0.0
837,0030655e363b,0,0,0,0,0,0,1,0.0,0.0
838,00306563577a,0,0,0,0,0,0,1,0.0,0.0
839,00070e600d72,0,0,0,0,0,0,1,0.0,0.0
840,00306522f028,0,0,0,0,0,0,1,0.0,0.0
841,00022d4a7397,0,0,0,0,0,0,1,0.0,0.0
842,00409695d75c,0,0,0,0,0,0,1,0.0,0.0
843,003065d625db,0,0,0,0,0,0,1,0.0,0.0
844,004096da50ba,0,0,0,0,0,0,1,0.0,0.0
845,00070e7040c6,0,0,0,0,0,0,1,0.0,0.0
846,003065c81c1f,0,0,0,0,0,0,1,0.0,0.0
847,00070e7a8075,0,0,0,0,0,0,1,0.0,0.0
848,0030656a58d2,0,0,0,0,0,0,1,0.0,0.0
849,00070e024d72,0,0,0,0,0,0,1,0.0,0.0
850,00055d7a9277,0,0,0,0,0,0,1,0.0,0.0
851,00070ebde5d1,0,0,0,0,0,0,1,0.0,0.0
852,00070ec95843,0,0,0,0,0,0,1,0.0,0.0
853,00306558b077,0,0,0,0,0,0,1,0.0,0.0
854,00070ea559a4,0,0,0,0,0,0,1,0.0,0.0
855,003065329902,0,0,0,0,0,0,1,0.0,0.0
856,0030654d7f26,0,0,0,0,0,0,1,0.0,0.0
857,00409690d637,0,0,0,0,0,0,1,0.0,0.0
858,004096bbd901,0,0,0,0,0,0,1,0.0,0.0
859,00070e5d994b,0,0,0,0,0,0,1,0.0,0.0
860,00045a2cb8c5,0,0,0,0,0,0,1,0.0,0.0
861,00070ea350b9,0,0,0,0,0,0,1,0.0,0.0
862,00022dea0c1c,0,0,0,0,0,0,1,0.0,0.0
863,003065d8954a,0,0,0,0,0,0,1,0.0,0.0
864,00070ecff12b,0,0,0,0,0,0,1,0.0,0.0
865,00306557dbd9,0,0,0,0,0,0,1,0.0,0.0
866,00306553c48d,0,0,0,0,0,0,1,0.0,0.0
867,00070e498f9b,0,0,0,0,0,0,1,0.0,0.0
868,00409635b95c,0,0,0,0,0,0,1,0.0,0.0
869,00022dd78ec3,0,0,0,0,0,0,1,0.0,0.0
870,003065cd15fa,0,0,0,0,0,0,1,0.0,0.0
871,004096476ea0,0,0,0,0,0,0,1,0.0,0.0
872,00409681f307,0,0,0,0,0,0,1,0.0,0.0
873,004096f82115,0,0,0,0,0,0,1,0.0,0.0
874,004096d433b0,0,0,0,0,0,0,1,0.0,0.0
875,00070eddb470,0,0,0,0,0,0,1,0.0,0.0
876,00306508bc6b,0,0,0,0,0,0,1,0.0,0.0
877,00400503ff18,0,0,0,0,0,0,1,0.0,0.0
878,003065119ab9,0,0,0,0,0,0,1,0.0,0.0
879,003065170c68,0,0,0,0,0,0,1,0.0,0.0
880,003065f78617,0,0,0,0,0,0,1,0.0,0.0
881,00070edfc293,0,0,0,0,0,0,1,0.0,0.0
882,00070e0341ea,0,0,0,0,0,0,1,0.0,0.0
883,00022ddc8fcc,0,0,0,0,0,0,1,0.0,0.0
884,00022d474513,0,0,0,0,0,0,1,0.0,0.0
885,00070e222990,0,0,0,0,0,0,1,0.0,0.0
886,004096bbd674,0,0,0,0,0,0,1,0.0,0.0
887,00070e195da6,0,0,0,0,0,0,1,0.0,0.0
888,0030655cd5a4,0,0,0,0,0,0,1,0.0,0.0
